;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;Total Sum of usd;Total Count of tons
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;Sum of usd;Count of tons;;
soybean_meal;2744087956;672;1698538993;566;1460211197;547;1609577600;577;1974379428;657;2144382337;647;2544250544;736;3126504383;674;2879870683;784;2441146749;738;2978198376;730;4398849695;765;4606071624;719;4731407407;769;5697839658;772;6597674676;827;6790383352;834;7001971946;934;5822471745;1082;5194015474;956;4974441578;917;6624510325;1115;5798167207;1197;93838952933;18215
soybean_oil;661073787;248;926425748;299;740938821;429;390116260;365;492676160;447;793830245;537;1198075794;582;1388610943;721;1254939368;910;1234309285;853;1761896761;893;2698309633;992;1249112645;773;1361587916;628;2122241778;760;2067757895;755;1367981128;608;1128359385;563;1170412768;646;942036755;677;1072471727;660;1050464403;962;720352338;1808;27793981543;16116
soybeans;2667731481;513;2238024116;541;1528641004;457;2170208237;475;2658015802;594;2991101775;593;4194137725;690;4910348124;693;5329116960;1062;5653073682;1011;6712916355;984;10992210893;1130;11461382882;1070;11079221549;940;16338222484;1002;17595301488;1049;22938712533;1268;23530910108;1429;21085165020;1367;19446898310;1243;25747034940;1438;32683442059;1534;24784116897;1831;2,78736E+11;22914
Grand Total;6072893224;1433;4862988857;1406;3729791022;1433;4169902097;1417;5125071390;1698;5929314357;1777;7936464063;2008;9425463450;2088;9463927011;2756;9328529716;2602;11453011492;2607;18089370221;2887;17316567151;2562;17172216872;2337;24158303920;2534;26260734059;2631;31097077013;2710;31661241439;2926;28078049533;3095;25582950539;2876;31793948245;3015;40358416787;3611;31302636442;4836;4,00369E+11;57245
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soybean_meal,2744087956,1698538993;1460211197,1609577600,1974379428;2144382337,2544250544,3126504383;2879870683,2441146749,2978198376;4398849695,4606071624,4731407407;5697839658,6597674676;6790383352,7001971946,5822471745,5194015474,4974441578,6624510325,5798167207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soybean_oil,661073787,926425748;740938821,390116260,492676160;793830245,1198075794,1388610943;1254939368,1234309285,1761896761;2698309633,1249112645,1361587916;2122241778,2067757895;1367981128,1128359385,1170412768,942036755,1072471727,1050464403,720352338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soybeans,2667731481,2238024116;1528641004,2170208237,2658015802;2991101775,4194137725,4910348124;5329116960,5653073682,6712916355;10992210893,11461382882,11079221549;16338222484,17595301488;22938712533,23530910108,21085165020,19446898310,25747034940,32683442059,24784116897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soybean_meal,2744087956,1698538993,1460211197,1609577600,1974379428,2144382337,2544250544,3126504383,2879870683,2441146749,2978198376,4398849695,4606071624,4731407407,5697839658,6597674676,6790383352,7001971946,5822471745,5194015474,4974441578,6624510325,5798167207,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soybean_oil,661073787,926425748,740938821,390116260,492676160,793830245,1198075794,1388610943,1254939368,1234309285,1761896761,2698309633,1249112645,1361587916,2122241778,2067757895,1367981128,1128359385,1170412768,942036755,1072471727,1050464403,720352338,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
soybeans,2667731481,2238024116,1528641004,2170208237,2658015802,2991101775,4194137725,4910348124,5329116960,5653073682,6712916355,10992210893,11461382882,11079221549,16338222484,17595301488,22938712533,23530910108,21085165020,19446898310,25747034940,32683442059,24784116897,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
